A6575,38.44613065,14.94866157,214.141
A7131,38.44719304,14.95037854,211.918
A7161,38.44679914,14.9501797,211.068
A7311,38.44619464,14.94950053,215.059
E6485,38.40664533,14.97572426,69.6275
E6520,38.4065432,14.97432131,92.2828
E6743,38.40635211,14.97370563,111.014
E6744,38.40684648,14.97487468,77.7258
E6755,38.40624211,14.97471682,88.4693
E6999,38.40575011,14.97539115,80.7511
E7222,38.40641376,14.97286633,139.12
E7289,38.40562949,14.97380201,114.304
L6413,38.44227829,14.95269913,111.639
L6529,38.44641478,14.94737372,166.355
L6691,38.44817078,14.95811343,64.8777
L6767,38.44802181,14.95029452,197.951
L6770,38.44246192,14.94973303,9.6788
L6777,38.4452794,14.95741328,115.011
L6781,38.44901865,14.94808835,204.621
L6987,38.44227644,14.94745712,31.4085
L6990,38.4434736,14.9541955,168.246
L7102,38.44812936,14.95360042,177.943
L7141,38.44191074,14.95442083,125.98
L7186,38.44308845,14.94839704,47.2519
L7190,38.44877411,14.94999268,191.644
L7199,38.45062324,14.95002975,196.329
L7208,38.44651045,14.95265909,198.931
L7239,38.44625051,14.94762458,183.163
L7280,38.44493706,14.9463194,216.807
L7297,38.44533191,14.94887509,200.808
N6408,38.42206396,14.96107948,22.6048
N6409,38.42133519,14.96049694,15.7677
N6772,38.42141725,14.96188971,22.8355
N6938,38.42168361,14.96123366,21.087
N6977,38.42101357,14.95976811,15.3442
N7137,38.42079231,14.96059788,15.8007
N7154,38.4218593,14.95993674,24.5856
N7181,38.42146695,14.96109624,20.439
N7237,38.42103036,14.96081811,16.8472
N7238,38.42057113,14.96116464,14.3233
N7375,38.42135864,14.96087525,20.0865
S6765,38.38058656,14.97888395,384.111
S6928,38.38078463,14.98099182,392.765
S7192,38.37885044,14.98022461,394.834
S7196,38.37997693,14.97927823,389.117
S7204,38.38043919,14.98009479,387.104
S7232,38.37997914,14.97997716,385.902
S7241,38.37917689,14.97888428,392.773
S7265,38.37969936,14.98039436,391.228
S7310,38.37976614,14.98163459,404.568
V6384,38.39923272,14.97093557,170.146
V6389,38.39031864,14.98806649,382.761
V6391,38.40622313,14.98170552,185.82
V6397,38.40344266,14.94058379,89.2516
V6400,38.39890439,14.95900209,133.103
V6404,38.42991278,14.96265469,36.8214
V6405,38.4124008,14.96495258,29.1582
V6406,38.40488632,14.95754008,279.64
V6411,38.40011914,14.97275547,143.653
V6441,38.39747758,14.94599023,153.285
V6471,38.38713532,14.96759719,329.589
V6490,38.40929692,14.95560766,35.8436
V6491,38.40319165,14.9470901,112.618
V6517,38.39679559,14.95918812,81.9904
V6557,38.40351704,14.9551245,161.519
V6580,38.40412993,14.97454844,100.057
V6618,38.39433666,14.94988673,202.125
V6620,38.40239108,14.95235856,58.0059
V6621,38.40340038,14.97270167,156.426
V6622,38.39631895,14.97084628,174.658
V6737,38.38449389,14.962873,369.54
V6739,38.41115159,14.95200614,19.4603
V6741,38.39663956,14.96591942,127.301
V6742,38.40144834,14.96373384,335.092
V6745,38.38153642,14.97402346,349.819
V6746,38.39099875,14.96846127,302.602
V6747,38.39224371,14.96278459,273.804
V6748,38.39076634,14.97531536,314.975
V6749,38.38724232,14.97955105,349.629
V6750,38.38459979,14.9825801,375.812
V6751,38.39781851,14.95372083,76.3544
V6756,38.39774805,14.98009035,314.519
V6763,38.40736057,14.95337016,55.4264
V6769,38.39137788,14.98865333,380.597
V6774,38.38059443,14.98558466,416.216
V6795,38.39923676,14.98177625,299.869
V6826,38.39668772,14.96140161,109.454
V6829,38.3968008,14.98695079,373.409
V6834,38.42233395,14.96679038,14.7652
V6844,38.40240473,14.95016847,48.0497
V6845,38.3915568,14.98043422,338.553
V6847,38.38213393,14.97975608,387.843
V6848,38.40522588,14.97984715,101.61
V6849,38.38628761,14.98459087,381.852
V6850,38.4137347,14.95001423,15.5992
V6853,38.39848475,14.97817383,316.463
V6854,38.38750099,14.96425827,364.023
V6855,38.42818876,14.95616508,30.053
V6895,38.40059686,14.96264724,290.053
V6906,38.41276627,14.96104325,5.89221
V6946,38.4125243,14.96759878,31.0118
V6951,38.40781918,14.94590412,187.526
V6959,38.41411134,14.95785949,9.10915
V6965,38.39947151,14.95439451,65.8918
V6970,38.40037458,14.94689175,127.419
V6992,38.39416998,14.9892022,381.742
V6993,38.41246266,14.94489167,108.103
V6995,38.40962029,14.96097163,125.863
V6996,38.407847,14.94875893,33.1149
V7009,38.40956296,14.9529923,28.9796
V7010,38.40605156,14.96693979,288.73
V7011,38.41089252,14.94398503,144.348
V7069,38.3986499,14.96762124,178.368
V7074,38.40484812,14.98236804,176.55
V7076,38.39598926,14.9557602,109.237
V7077,38.41098544,14.96933379,60.3515
V7087,38.40269554,14.98131973,222.501
V7091,38.4115956,14.95579095,14.6866
V7099,38.41593147,14.94986594,15.3385
V7101,38.40390476,14.95185615,48.8327
V7136,38.41802958,14.95925061,5.52511
V7140,38.40585055,14.95487894,128.724
V7144,38.39344072,14.96117537,265.107
V7145,38.40608821,14.95829878,258.902
V7147,38.39016213,14.98508584,375.702
V7148,38.39565541,14.94834832,184.386
V7176,38.40292902,14.96658076,372.277
V7177,38.42499189,14.9619577,50.1329
V7183,38.42381214,14.96091607,37.3258
V7185,38.38339031,14.98136582,386.729
V7188,38.39477785,14.96237348,172.588
V7193,38.40768496,14.95683488,125.458
V7194,38.39379934,14.98599221,381.078
V7195,38.40090317,14.9597681,274.246
V7197,38.38528297,14.97417783,339.774
V7201,38.39424223,14.95789966,185.188
V7202,38.40189952,14.95494023,124.554
V7205,38.39404795,14.97705712,323.391
V7206,38.3920543,14.97618884,333.718
V7209,38.40719547,14.96478712,247.819
V7214,38.42622973,14.95805612,37.6916
V7218,38.38485749,14.96564618,338.655
V7228,38.40868658,14.94105242,123.885
V7230,38.39228469,14.95518191,311.819
V7236,38.42136633,14.95498038,5.21743
V7243,38.3891811,14.97132708,310.444
V7245,38.38872317,14.97007822,310.583
V7246,38.40466019,14.96646215,352.429
V7248,38.39640066,14.97880197,313.967
V7249,38.40647051,14.95024251,37.2057
V7250,38.3986625,14.94850535,110.247
V7251,38.39273984,14.9520944,254.769
V7255,38.41364878,14.94695575,57.1377
V7264,38.39018885,14.97293545,323.691
V7278,38.42661455,14.96013333,53.4486
V7291,38.39345649,14.96610583,197.707
V7294,38.40304618,14.943264,145.296
V7295,38.40379532,14.96879404,315.802
V7301,38.38461349,14.98717164,405.15
V7303,38.41164765,14.94906783,22.2127
V7309,38.38674243,14.96980154,324.342
V7313,38.387715,14.99070976,429.853
V7324,38.38939436,14.95382505,265.894
V7342,38.41074012,14.95725369,26.0692
V7344,38.3895191,14.9510538,197.54
V7345,38.40203684,14.97200689,167.792
V7349,38.40727535,14.96839876,277.619
V7352,38.39451841,14.96881931,183.126
V7360,38.38382117,14.96944298,334.766
V7362,38.39059237,14.99117251,386.434
V7367,38.40145999,14.95742197,205.699
V7370,38.38774477,14.96047496,453.661
V7372,38.38778578,14.98892423,397.194
V7373,38.40810418,14.96646361,285.786
V7374,38.38142369,14.97791813,377.651
W6446,38.39967334,14.951067,60.5962
W6492,38.40026137,14.95076219,54.3565
W6757,38.39936175,14.95150065,60.3617
W6758,38.40033372,14.95239222,57.7288
W6790,38.39958771,14.95207687,59.007
W7082,38.40055751,14.95139308,54.0832
W7168,38.39893733,14.95051273,74.9509
W7172,38.39857291,14.95191386,66.7846
W7258,38.39937176,14.95281978,61.3053
W7361,38.39898111,14.95139164,61.5799
